time,direction,entry,outcome,pl_pct,r,bars_held,atr_pct,htf_trend_up,ema50_rising,rel_volume,with_htf_trend
1781222400,short,8.6144,flip,-18.7225,,4,11.1293,True,True,0.98,False
1781280000,long,10.21,flip,-14.9669,,1,11.3867,True,True,1.48,True
1781294400,short,8.7023,flip,-1.5686,,3,15.4031,True,True,2.13,False
1781337600,long,8.8214,flip,-18.1643,,3,15.7513,True,True,0.78,True
1781380800,short,7.2367,flip,73.5615,,59,19.392,True,True,0.51,False
1782230400,long,1.8988,flip,0.6953,,5,10.3351,False,False,1.52,False
1782302400,short,1.9158,flip,-5.07,,7,14.8058,False,False,2.57,True
1782403200,long,2.0091,flip,8.376,,10,13.3148,False,False,1.08,False
1782547200,short,2.1814,flip,-14.3148,,1,13.1778,False,False,1.07,True
1782561600,long,2.4893,flip,-0.2201,,6,12.2699,False,True,1.23,False
1782648000,short,2.4888,flip,-12.3022,,7,12.0559,False,True,1.07,True
1782748800,long,2.79,flip,5.8036,,10,9.2935,True,True,0.58,True
1782892800,short,2.9575,flip,6.4002,,2,10.0117,True,True,4.17,False
1782921600,long,2.7623,flip,5.0565,,10,12.232,True,True,2.14,True
1783065600,short,2.9075,flip,-3.973,,8,10.2333,True,True,0.86,False
1783180800,long,3.0172,flip,-9.8314,,3,8.8405,True,True,0.89,True
1783224000,short,2.7266,flip,1.0616,,12,8.8825,True,False,0.44,False
1783396800,long,2.6922,flip,-8.5909,,3,7.1626,True,False,0.61,True
1783440000,short,2.4663,flip,5.5982,,17,7.7383,False,False,0.96,True
1783684800,long,2.3233,open,27.4675,,5,7.0099,False,False,0.81,False
